basis,boot_ci_hi,boot_ci_lo,mean,median,metric,n_faulted_cumulative,n_in_summary,n_observed,n_total,q25,q75,round,scenario,strategy
observed,204.1727665154251,161.27202187541997,188.3482942649735,177.92165769145436,param_err_pct,0,40,40,40,145.58181744141012,223.78348487097983,2,S1_ideal,B
locf,205.48951164560668,161.27202187541997,188.3482942649735,177.92165769145436,param_err_pct,0,40,40,40,145.58181744141012,223.78348487097983,2,S1_ideal,B
observed,0.06967533904383486,0.053411904808832386,0.06678751915105732,0.06326864192318656,blind_rmse_M,0,40,40,40,0.050031443783643804,0.07945404914236415,2,S1_ideal,B
locf,0.06967533904383486,0.05332957102300799,0.06678751915105732,0.06326864192318656,blind_rmse_M,0,40,40,40,0.050031443783643804,0.07945404914236415,2,S1_ideal,B
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,2,S1_ideal,B
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,2,S1_ideal,B
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,2,S1_ideal,B
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,2,S1_ideal,B
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,2,S1_ideal,B
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,2,S1_ideal,B
observed,5183.741863323341,5183.741863323341,5183.741863323341,5183.741863323341,time_s,0,40,40,40,5183.741863323341,5183.741863323341,2,S1_ideal,B
locf,5183.741863323341,5183.741863323341,5183.741863323341,5183.741863323341,time_s,0,40,40,40,5183.741863323341,5183.741863323341,2,S1_ideal,B
observed,0.043197848861027816,0.043197848861027816,0.043197848861027816,0.043197848861027816,egda_mol,0,40,40,40,0.043197848861027816,0.043197848861027816,2,S1_ideal,B
locf,0.043197848861027816,0.043197848861027816,0.043197848861027816,0.043197848861027816,egda_mol,0,40,40,40,0.043197848861027816,0.043197848861027816,2,S1_ideal,B
observed,17.342350796577808,17.342350796577808,17.342350796577808,17.342350796577808,energy_kJ,0,40,40,40,17.342350796577808,17.342350796577808,2,S1_ideal,B
locf,17.342350796577808,17.342350796577808,17.342350796577808,17.342350796577808,energy_kJ,0,40,40,40,17.342350796577808,17.342350796577808,2,S1_ideal,B
observed,20.0,20.0,20.0,20.0,nmr_acquisitions,0,40,40,40,20.0,20.0,2,S1_ideal,B
