x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
5.46000000e-02,4.11674301e+01,9.88571090e-01,1.62910280e-01,8.25660810e-01
5.49000000e-02,4.13936248e+01,9.88819689e-01,1.61280245e-01,8.27539443e-01
5.52000000e-02,4.16198195e+01,9.89062356e-01,1.59669429e-01,8.29392927e-01
5.55000000e-02,4.18460141e+01,9.89299238e-01,1.58077678e-01,8.31221561e-01
5.58000000e-02,4.20722088e+01,9.89530479e-01,1.56504840e-01,8.33025639e-01
5.61000000e-02,4.22984035e+01,9.89756218e-01,1.54950761e-01,8.34805457e-01
5.64000000e-02,4.25245982e+01,9.89976591e-01,1.53415287e-01,8.36561304e-01
5.67000000e-02,4.27507928e+01,9.90191731e-01,1.51898261e-01,8.38293471e-01
5.70000000e-02,4.29769875e+01,9.90401767e-01,1.50399525e-01,8.40002242e-01
5.73000000e-02,4.32031822e+01,9.90606825e-01,1.48918924e-01,8.41687902e-01
5.76000000e-02,4.34293768e+01,9.90807028e-01,1.47456297e-01,8.43350731e-01
5.79000000e-02,4.36555715e+01,9.91002495e-01,1.46011486e-01,8.44991009e-01
5.82000000e-02,4.38817662e+01,9.91193344e-01,1.44584332e-01,8.46609012e-01
5.85000000e-02,4.41079609e+01,9.91379687e-01,1.43174674e-01,8.48205013e-01
5.88000000e-02,4.43341555e+01,9.91561636e-01,1.41782352e-01,8.49779284e-01
5.91000000e-02,4.45603502e+01,9.91739299e-01,1.40407206e-01,8.51332093e-01
5.94000000e-02,4.47865449e+01,9.91912781e-01,1.39049075e-01,8.52863706e-01
5.97000000e-02,4.50127395e+01,9.92082185e-01,1.37707797e-01,8.54374387e-01
6.00000000e-02,4.52389342e+01,9.92247610e-01,1.36383212e-01,8.55864397e-01
