strategy,round,n_experiments,n_data,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,k1_ref,Ea1_kJ,k2_ref,Ea2_kJ,K1_ref,K2_ref,sigma_lnk1,sigma_Ea1_kJ,sigma_lnk2,sigma_Ea2_kJ,sigma_lnK1,sigma_lnK2,logdet_F,d_criterion,max_rel_ci_pct,mean_rel_err_pct
C,19,19,76,160.0,0.2,1.0,1.0,1.043754e-03,3.940501e+01,6.314065e-04,4.818930e+01,6.180116e+00,7.351283e-02,2.6859e-02,4.1907e-01,7.3114e-02,1.0219e+00,1.1892e+01,7.0545e-02,20.6120,1.7948e-01,1327322840701.203,100.136
C,20,20,80,159.99996429550413,0.4430811297186603,0.9999418648305913,0.7466287325744553,1.046159e-03,3.935420e+01,6.221628e-04,4.852105e+01,6.180116e+00,7.209742e-02,2.6357e-02,4.0070e-01,7.2292e-02,9.9100e-01,1.1739e+01,6.6823e-02,20.9977,1.7381e-01,983403652967.808,100.212
C,21,21,84,107.22622973565998,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.033132e-03,3.950513e+01,6.447757e-04,4.809187e+01,6.180116e+00,7.210329e-02,2.4848e-02,3.8656e-01,6.7284e-02,9.3859e-01,1.1739e+01,6.6830e-02,21.3111,1.6933e-01,982740405359.254,99.205
C,22,22,88,160.0,0.2,1.0,1.0,1.032564e-03,3.951729e+01,6.442070e-04,4.812423e+01,6.180116e+00,6.896773e-02,2.4849e-02,3.8620e-01,6.7347e-02,9.3964e-01,1.0954e+01,6.0852e-02,21.6929,1.6402e-01,211176749054.226,98.961
C,23,23,92,159.99996423171555,0.4463637161165873,0.9999417609680674,0.7466400970770259,1.030166e-03,3.956865e+01,6.433419e-04,4.815457e+01,6.180116e+00,6.882542e-02,2.4472e-02,3.7218e-01,6.6695e-02,9.1559e-01,1.0757e+01,5.9421e-02,21.9982,1.5990e-01,143445638204.790,98.966
C,24,24,96,106.99470663944939,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.027430e-03,3.960072e+01,6.467770e-04,4.809050e+01,6.180116e+00,6.882654e-02,2.3241e-02,3.6050e-01,6.3018e-02,8.7706e-01,1.0757e+01,5.9422e-02,22.2571,1.5649e-01,143401980199.630,98.797
C,25,25,100,160.0,0.2,1.0,1.0,1.024345e-03,3.966728e+01,6.467772e-04,4.809810e+01,6.180116e+00,6.709135e-02,2.3246e-02,3.6033e-01,6.3043e-02,8.7723e-01,1.0121e+01,5.5334e-02,22.5735,1.5242e-01,41212231175.571,99.134
D,1,1,40,40.0,1.0,1.0,0.5,1.296404e-03,6.683015e+01,3.469420e-02,2.000000e+01,6.168232e+00,1.158038e+00,8.3501e-01,8.9949e+00,2.2689e+01,1.9697e+03,1.2503e+04,1.3152e+07,-inf,inf,inf,1255.386
D,2,2,80,159.99989931778566,0.7844097052319967,0.9999405037347833,0.9998890183008126,7.005955e-04,4.401699e+01,6.545378e-03,2.000000e+01,6.180116e+00,1.545029e+00,6.8912e-01,8.2702e+00,3.0820e+01,3.6978e+02,1.8479e+02,1.1311e+02,-19.7314,5.1773e+00,1974043904807813801636990084552209648785961026935929700979028287976213801606392598876279752689831461112133581953672411444986596023051772939002445465081394233344.000,616.527
D,3,3,120,141.10458011678773,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.147906e-03,3.811294e+01,7.251175e-04,4.659319e+01,6.180115e+00,5.390940e-02,1.0174e-01,1.2697e+00,2.6750e-01,3.4114e+00,2.8012e+01,3.1490e-01,11.8009,3.7404e-01,69882581541053341250879488.000,107.277
D,4,4,160,160.0,0.2,1.0,1.0,1.150816e-03,3.807871e+01,5.737557e-04,4.957780e+01,6.180116e+00,7.118341e-02,6.8929e-02,8.7078e-01,1.5316e-01,1.9856e+00,1.2457e+01,9.7027e-02,17.8817,2.2534e-01,4015361844501.495,103.879
D,5,5,200,108.16532135460173,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.006972e-03,3.975429e+01,5.903368e-04,4.921822e+01,6.180116e+00,7.122809e-02,2.4722e-02,3.5066e-01,8.3106e-02,1.1249e+00,1.2268e+01,9.6468e-02,21.3172,1.6924e-01,2773326218460.899,100.244
D,6,6,240,160.0,0.2,1.0,1.0,1.001929e-03,3.984761e+01,5.908662e-04,4.922473e+01,6.180116e+00,6.918678e-02,2.4024e-02,3.3196e-01,7.9701e-02,1.0499e+00,9.6693e+00,7.0203e-02,23.2263,1.4435e-01,17009354009.089,100.011
D,7,7,280,160.0,0.2,1.0,1.0,9.982365e-04,3.991621e+01,5.919645e-04,4.920865e+01,6.180116e+00,6.785834e-02,2.3604e-02,3.1985e-01,7.7844e-02,1.0077e+00,8.2787e+00,5.7708e-02,24.5001,1.2981e-01,1114313304.266,100.262
D,8,8,320,111.34617703823389,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.021942e-03,3.962922e+01,5.915461e-04,4.921712e+01,6.180116e+00,6.785765e-02,1.8248e-02,2.6265e-01,5.9658e-02,7.9621e-01,8.2650e+00,5.7689e-02,25.6652,1.1780e-01,1084766468.815,100.732
D,9,9,360,160.0,0.2,1.0,1.0,1.019853e-03,3.966896e+01,5.950741e-04,4.908295e+01,6.180116e+00,7.098273e-02,1.7946e-02,2.5334e-01,5.8569e-02,7.6912e-01,7.3966e+00,5.2814e-02,26.5221,1.0968e-01,197753208.629,100.267
D,10,10,400,160.0,0.2,1.0,1.0,1.020993e-03,3.964722e+01,6.010396e-04,4.888963e+01,6.180116e+00,7.308346e-02,1.7721e-02,2.4628e-01,5.7789e-02,7.4995e-01,6.7661e+00,4.9214e-02,27.2190,1.0349e-01,57470085.309,100.575
D,11,11,440,111.64839829305635,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.018105e-03,3.968165e+01,6.386322e-04,4.814732e+01,6.180116e+00,7.321088e-02,1.5225e-02,2.2043e-01,4.8636e-02,6.4522e-01,6.7574e+00,4.9344e-02,27.9497,9.7379e-02,56490783.018,99.321
D,12,12,480,160.0,0.2,1.0,1.0,1.018161e-03,3.968064e+01,6.309655e-04,4.838052e+01,6.180116e+00,7.156587e-02,1.5036e-02,2.1438e-01,4.8222e-02,6.3281e-01,6.2780e+00,4.4144e-02,28.6080,9.2181e-02,22078577.745,99.209
D,13,13,520,160.0,0.2,1.0,1.0,1.017114e-03,3.970632e+01,6.279580e-04,4.846227e+01,2.262572e+00,7.179360e-02,1.4891e-02,2.0958e-01,4.7865e-02,6.2251e-01,2.1565e+00,4.1072e-02,31.1480,7.4596e-02,6749.587,26.793
D,14,14,560,111.61911123828453,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.017896e-03,3.969767e+01,6.211159e-04,4.859525e+01,2.191443e+00,7.177681e-02,1.3329e-02,1.9357e-01,4.2526e-02,5.6207e-01,2.0870e+00,4.1053e-02,31.7363,7.1027e-02,5876.846,25.710
D,15,15,600,160.0,0.2,1.0,1.0,1.018410e-03,3.968430e+01,6.255044e-04,4.846495e+01,3.596561e+00,7.191230e-02,1.3192e-02,1.8920e-01,4.2208e-02,5.5323e-01,3.2264e+00,3.8809e-02,31.2182,7.4161e-02,55664.169,51.620
