scenario,strategy,seed,event_index,event_kind,d_time_s,d_egda_mol,d_acid_mol,d_liquid_mL,d_waste_mL,d_sample_mL,d_nmr_acquisitions,d_nmr_reacquisitions,d_qc_rejected,d_capillary_travel_m,d_condition_changes,d_temperature_changes,d_energy_kJ,d_reactor_conditions,d_spatial_samples,cum_time_s,cum_egda_mol,cum_acid_mol,cum_liquid_mL,cum_waste_mL,cum_sample_mL,cum_nmr_acquisitions,cum_nmr_reacquisitions,cum_qc_rejected,cum_capillary_travel_m,cum_condition_changes,cum_temperature_changes,cum_energy_kJ,cum_reactor_conditions,cum_spatial_samples
S3_transport,E,7,39,acquisition,92.93556597811263,0.00038723152490880266,0.00038723152490880266,0.7744630498176053,1.5244630498176053,0.75,1.0,0.0,0.0,0.005879999999999996,0.0,0.0,0.24279416611781923,0.0,1.0,11020.299417886617,0.0521703500906708,0.031092853436315734,104.3407001813416,130.5907001813416,26.25,35.0,0.0,0.0,0.7824319999999999,3.0,3.0,126.36262285553416,4.0,35.0
S3_transport,E,7,40,acquisition,92.93556597811263,0.00038723152490880266,0.00038723152490880266,0.7744630498176053,1.5244630498176053,0.75,1.0,0.0,0.0,0.005879999999999996,0.0,0.0,0.24279416611781923,0.0,1.0,11113.23498386473,0.05255758161557961,0.031480084961224536,105.11516323115922,132.1151632311592,27.0,36.0,0.0,0.0,0.7883119999999999,3.0,3.0,126.60541702165197,4.0,36.0
S3_transport,E,7,41,acquisition,92.93556597811263,0.00038723152490880266,0.00038723152490880266,0.7744630498176053,1.5244630498176053,0.75,1.0,0.0,0.0,0.005879999999999996,0.0,0.0,0.24279416611781923,0.0,1.0,11206.170549842842,0.05294481314048841,0.03186731648613334,105.88962628097683,133.63962628097678,27.75,37.0,0.0,0.0,0.7941919999999999,3.0,3.0,126.84821118776979,4.0,37.0
S3_transport,E,7,42,acquisition,92.54356597811264,0.0003855981915754693,0.0003855981915754693,0.7711963831509386,1.5211963831509385,0.75,1.0,0.0,0.0,0.005096000000000017,0.0,0.0,0.24177006611781923,0.0,1.0,11298.714115820954,0.053330411332063885,0.03225291467770881,106.66082266412776,135.16082266412772,28.5,38.0,0.0,0.0,0.7992879999999999,3.0,3.0,127.08998125388761,4.0,38.0
S3_transport,E,7,43,acquisition,92.15156597811263,0.00038396485824213593,0.00038396485824213593,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.0043119999999999825,0.0,0.0,0.24074596611781923,0.0,1.0,11390.865681799067,0.05371437619030602,0.03263687953595095,107.42875238061204,136.678752380612,29.25,39.0,0.0,0.0,0.8035999999999999,3.0,3.0,127.33072722000543,4.0,39.0
S3_transport,E,7,44,acquisition,92.15156597811266,0.00038396485824213604,0.00038396485824213604,0.7679297164842721,1.517929716484272,0.75,1.0,0.0,0.0,0.004312000000000038,0.0,0.0,0.2407459661178193,0.0,1.0,11483.01724777718,0.05409834104854816,0.03302084439419309,108.19668209709631,138.19668209709627,30.0,40.0,0.0,0.0,0.807912,3.0,3.0,127.57147318612324,4.0,40.0
S3_transport,E,7,45,condition_change,2308.3538881864793,0.009618141200776996,0.009618141200776996,19.236282401553993,19.236282401553993,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.85503415919692,1.0,0.0,13791.371135963658,0.06371648224932516,0.042638985594970084,127.4329644986503,157.43296449865028,30.0,40.0,0.0,0.0,0.807912,4.0,4.0,168.42650734532015,5.0,40.0
S3_transport,E,7,46,acquisition,170.74756597811265,0.0007114481915754693,0.0007114481915754693,1.4228963831509387,2.1728963831509387,0.75,1.0,0.0,0.0,0.161504,0.0,0.0,0.8029404290120746,0.0,1.0,13962.11870194177,0.06442793044090063,0.04335043378654555,128.85586088180125,159.60586088180122,30.75,41.0,0.0,0.0,0.9694159999999999,4.0,4.0,169.22944777433221,5.0,41.0
S3_transport,E,7,47,acquisition,92.15156597811263,0.00038396485824213593,0.00038396485824213593,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.0043119999999999895,0.0,0.0,0.43334273901207454,0.0,1.0,14054.270267919883,0.06481189529914276,0.04373439864478769,129.62379059828552,161.1237905982855,31.5,42.0,0.0,0.0,0.9737279999999999,4.0,4.0,169.66279051334428,5.0,42.0
S3_transport,E,7,48,acquisition,92.15156597811263,0.00038396485824213593,0.00038396485824213593,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.004311999999999996,0.0,0.0,0.43334273901207454,0.0,1.0,14146.421833897995,0.06519586015738489,0.04411836350302983,130.3917203147698,162.64172031476977,32.25,43.0,0.0,0.0,0.9780399999999999,4.0,4.0,170.09613325235634,5.0,43.0
