scenario,strategy,seed,round,param_i,param_j,is_diagonal,cov_scaled,corr,estimate_i_natural,sigma_i_scaled,bound_active_i
S3_transport,A,7,8,Ea1_J,Ea2_J,0,-0.3158818312025405,-0.020677690380987095,41574.59784493762,1.3787321607070373,0
S3_transport,A,7,8,Ea1_J,K1_ref,0,-1.8455002016685913,-0.8317455558912135,41574.59784493762,1.3787321607070373,0
S3_transport,A,7,8,Ea1_J,K2_ref,0,-0.08011329170282556,-0.0778328373744135,41574.59784493762,1.3787321607070373,0
S3_transport,A,7,8,k2_ref,k2_ref,1,0.49009147633914707,0.9999999999999999,0.0003390995241781193,0.7000653371929988,0
S3_transport,A,7,8,k2_ref,Ea2_J,0,-7.725170583143824,-0.9959253586159103,0.0003390995241781193,0.7000653371929988,0
S3_transport,A,7,8,k2_ref,K1_ref,0,0.00810109270881664,0.007190537008305476,0.0003390995241781193,0.7000653371929988,0
S3_transport,A,7,8,k2_ref,K2_ref,0,0.46257368759060613,0.8850759567622424,0.0003390995241781193,0.7000653371929988,0
S3_transport,A,7,8,Ea2_J,Ea2_J,1,122.76806913916576,1.0,58842.74128555978,11.0800753219085,0
S3_transport,A,7,8,Ea2_J,K1_ref,0,0.12300906088703847,0.006898436777285703,58842.74128555978,11.0800753219085,0
S3_transport,A,7,8,Ea2_J,K2_ref,0,-7.55523244132912,-0.9133627803312498,58842.74128555978,11.0800753219085,0
S3_transport,A,7,8,K1_ref,K1_ref,1,2.5899262861792405,1.0,0.061801161827279766,1.6093247920103761,1
S3_transport,A,7,8,K1_ref,K2_ref,0,0.1291393750630683,0.10748631431073961,0.061801161827279766,1.6093247920103761,1
S3_transport,A,7,8,K2_ref,K2_ref,1,0.5573443653621525,1.0,0.022189087880445674,0.7465549982165764,0
S3_transport,B,7,1,k1_ref,k1_ref,1,5802766405.533525,1.0,0.0008431059133081223,76175.89123557089,0
S3_transport,B,7,1,k1_ref,Ea1_J,0,251670022303.59048,0.9999999999899132,0.0008431059133081223,76175.89123557089,0
S3_transport,B,7,1,k1_ref,k2_ref,0,612.0821875708073,1.0516157359712327e-07,0.0008431059133081223,76175.89123557089,0
S3_transport,B,7,1,k1_ref,Ea2_J,0,5176.234453296198,2.0567544730283448e-08,0.0008431059133081223,76175.89123557089,0
S3_transport,B,7,1,k1_ref,K1_ref,0,-284728.89847604034,-1.1310574108858598e-06,0.0008431059133081223,76175.89123557089,0
S3_transport,B,7,1,k1_ref,K2_ref,0,4.173671047632901,1.657949577388514e-11,0.0008431059133081223,76175.89123557089,0
S3_transport,B,7,1,Ea1_J,Ea1_J,1,10915104228074.47,1.0,70660.38476344553,3303801.4813354737,0
S3_transport,B,7,1,Ea1_J,k2_ref,0,16492.187692993943,6.53324890281494e-08,70660.38476344553,3303801.4813354737,0
