scenario,strategy,seed,round,param,unit,estimate_natural,sigma_scaled,ci95_lo_natural,ci95_hi_natural,rel_ci95_width_pct,bound_active,bound_lo_natural,bound_hi_natural,true_value_natural,rel_error_pct_vs_truth,covered_by_ci95
S3_transport,C,7,6,K2_ref,dimensionless,0.08244163026511435,0.09927819222534955,0.06786397093594666,0.10015067357589205,39.16310550400128,0,0.015450290456819938,1.5450290456819942,0.07,17.773757521591914,1.0
S3_transport,C,7,7,k1_ref,L_per_mol_s,0.0009992092586944786,0.04034340831984772,0.0009232417746511883,0.0010814276065854841,15.831101499296985,0,7.935761655790467e-05,0.07142185490211418,0.001,0.07907413055213697,1.0
S3_transport,C,7,7,Ea1_J,J_per_mol,40402.51113185659,0.5990128299916377,39228.44598507298,41576.5762786402,5.811842451831577,0,20000.0,120000.0,40000.0,1.0062778296414665,1.0
S3_transport,C,7,7,k2_ref,L_per_mol_s,0.0005150282151640208,0.11204853989388709,0.00041347892577909407,0.0006415177313214554,44.27695392760918,0,3.854911651227973e-05,0.03469420486105175,0.00065,20.76488997476603,0.0
S3_transport,C,7,7,Ea2_J,J_per_mol,50132.71928937691,1.5429779526206773,47108.48250224038,53156.95607651344,12.064922190555743,0,20000.0,120000.0,48000.0,4.443165186201892,1.0
S3_transport,C,7,7,K1_ref,dimensionless,0.4847547520911575,1.3191668755499681,0.03652788790993535,6.433089431678981,1319.5459180493358,0,0.06180116182727974,6.180116182727977,0.9,46.138360878760274,1.0
S3_transport,C,7,7,K2_ref,dimensionless,0.08054759589710542,0.07014217961763754,0.07020149387196219,0.09241847782664644,27.58242962715496,0,0.015450290456819938,1.5450290456819942,0.07,15.067994138722018,0.0
S3_transport,C,7,8,k1_ref,L_per_mol_s,0.0009679694731759337,0.03308810957377194,0.0009071863223085407,0.0010328252068617786,12.979632936255037,0,7.935761655790467e-05,0.07142185490211418,0.001,3.2030526824066263,1.0
S3_transport,C,7,8,Ea1_J,J_per_mol,40766.3713983387,0.538399344649807,39711.10868282508,41821.63411385232,5.177123591414983,0,20000.0,120000.0,40000.0,1.9159284958467415,1.0
S3_transport,C,7,8,k2_ref,L_per_mol_s,0.0005942597707794301,0.08571198313876434,0.000502362043206127,0.0007029684665525575,33.75736221944078,0,3.854911651227973e-05,0.03469420486105175,0.00065,8.575419880087676,1.0
S3_transport,C,7,8,Ea2_J,J_per_mol,48353.21172714913,1.2503053454455784,45902.613250075796,50803.810204222464,10.136238688349147,0,20000.0,120000.0,48000.0,0.7358577648940212,1.0
S3_transport,C,7,8,K1_ref,dimensionless,0.5537409662726424,1.5047310543498167,0.029003721257307626,10.572059185381358,1903.9688421631108,0,0.06180116182727974,6.180116182727977,0.9,38.473225969706405,1.0
S3_transport,C,7,8,K2_ref,dimensionless,0.08045190388938224,0.07011484219010478,0.07012185034477302,0.09230373710337876,27.571611964714783,0,0.015450290456819938,1.5450290456819942,0.07,14.931291270546044,0.0
S3_transport,D,7,1,k1_ref,L_per_mol_s,0.0008431059133081223,76175.89123557089,0.0,inf,inf,0,7.935761655790467e-05,0.07142185490211418,0.001,15.689408669187777,nan
S3_transport,D,7,1,Ea1_J,J_per_mol,70660.38476344553,3303801.4813354737,-6475380243.032764,6475521563.802292,18328377.138323903,0,20000.0,120000.0,40000.0,76.65096190861382,1.0
S3_transport,D,7,1,k2_ref,L_per_mol_s,3.855982507009699e-05,76407.34709093899,0.0,inf,inf,0,3.854911651227973e-05,0.03469420486105175,0.00065,94.06771921998508,nan
S3_transport,D,7,1,Ea2_J,J_per_mol,119832.07112790534,3303801.489150025,-6475331086.662921,6475570750.805177,10807542.351199683,0,20000.0,120000.0,48000.0,149.65014818313614,1.0
S3_transport,D,7,1,K1_ref,dimensionless,6.092294760820657,3304679.560003015,0.0,inf,inf,0,0.06180116182727974,6.180116182727977,0.9,576.921640091184,nan
S3_transport,D,7,1,K2_ref,dimensionless,0.015570899868493334,3304679.5600299393,0.0,inf,inf,0,0.015450290456819938,1.5450290456819942,0.07,77.75585733072381,nan
S3_transport,D,7,2,k1_ref,L_per_mol_s,0.00050986449560603,0.24907479532955726,0.0003129233888988557,0.0008307522323414988,101.56205185990576,0,7.935761655790467e-05,0.07142185490211418,0.001,49.013550439397,0.0
S3_transport,D,7,2,Ea1_J,J_per_mol,48854.18256469441,3.5694779826762417,41858.00571864898,55850.359410739846,28.64105580635129,0,20000.0,120000.0,40000.0,22.135456411736023,0.0
S3_transport,D,7,2,k2_ref,L_per_mol_s,3.8551374751840586e-05,2219.775091099556,0.0,inf,inf,0,3.854911651227973e-05,0.03469420486105175,0.00065,94.06901926894761,nan
S3_transport,D,7,2,Ea2_J,J_per_mol,89423.95943315276,31754.15211056044,-62148714.17726531,62327562.096131615,139197.9029584872,0,20000.0,120000.0,48000.0,86.29991548573493,1.0
S3_transport,D,7,2,K1_ref,dimensionless,6.180116182700917,210.83942946576818,2.0933946109099513e-179,1.8244928993621393e+180,2.9521983817540064e+181,1,0.06180116182727974,6.180116182727977,0.9,586.6795758556574,1.0
S3_transport,D,7,2,K2_ref,dimensionless,0.015450290456834978,1.418521928502812,0.0009582225923511997,0.24911902214164816,1606.1885712932622,1,0.015450290456819938,1.5450290456819942,0.07,77.92815649023575,1.0
S3_transport,D,7,3,k1_ref,L_per_mol_s,0.000698832219496409,0.08843164724756002,0.0005876224533209767,0.0008310888534742853,34.839034801336844,0,7.935761655790467e-05,0.07142185490211418,0.001,30.116778050359095,0.0
S3_transport,D,7,3,Ea1_J,J_per_mol,44268.476146089706,1.1949487273815222,41926.37664042192,46610.57565175749,10.581342343651755,0,20000.0,120000.0,40000.0,10.671190365224259,0.0
S3_transport,D,7,3,k2_ref,L_per_mol_s,0.000837893180335382,0.2505558211189776,0.000512756571571524,0.0013691974332007374,102.21360929162917,0,3.854911651227973e-05,0.03469420486105175,0.00065,28.906643128520315,1.0
S3_transport,D,7,3,Ea2_J,J_per_mol,44748.448454659134,3.1973000930496647,38481.74027228179,51015.156637036474,28.00860543232919,0,20000.0,120000.0,48000.0,6.774065719460143,1.0
S3_transport,D,7,3,K1_ref,dimensionless,0.3677556516822604,0.6822066168338852,0.09657247460539645,1.4004427234246994,354.5479839276114,0,0.06180116182727974,6.180116182727977,0.9,59.1382609241933,1.0
S3_transport,D,7,3,K2_ref,dimensionless,0.08055388916445944,0.056974568355791774,0.07204250104061156,0.09007084659459695,22.38047813827906,0,0.015450290456819938,1.5450290456819942,0.07,15.076984520656334,0.0
S3_transport,D,7,4,k1_ref,L_per_mol_s,0.0009025235233962831,0.021605142339739248,0.0008651030870284887,0.0009415625981425001,8.471747176880983,0,7.935761655790467e-05,0.07142185490211418,0.001,9.747647660371683,0.0
S3_transport,D,7,4,Ea1_J,J_per_mol,40868.876677077315,0.3520913335084454,40178.77766340076,41558.97569075387,3.377137175211954,0,20000.0,120000.0,40000.0,2.1721916926932927,0.0
S3_transport,D,7,4,k2_ref,L_per_mol_s,0.0007264791879064497,0.06449515593512177,0.0006402119733662054,0.0008243707278484866,25.34948798918598,0,3.854911651227973e-05,0.03469420486105175,0.00065,11.766028908684568,1.0
S3_transport,D,7,4,Ea2_J,J_per_mol,46591.824118667726,0.9352346552807604,44758.76419431744,48424.88404301801,7.86859050498453,0,20000.0,120000.0,48000.0,2.933699752775576,1.0
S3_transport,D,7,4,K1_ref,dimensionless,2.3878906013518018,4.151525211063393,0.0006984974492466241,8163.267496787967,341861.0045899605,0,0.06180116182727974,6.180116182727977,0.9,165.32117792797797,1.0
