x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
2.40000000e-02,1.80955737e+01,3.23899999e-02,1.06680638e-01,1.10929362e-01,3.28539362e-01,5.08735145e+01,0.00000000e+00,8.70440000e-01,4.26722553e-01,4.43717447e-01
2.43000000e-02,1.83217684e+01,3.15882392e-02,1.05982523e-01,1.12429238e-01,3.30840999e-01,5.08712128e+01,0.00000000e+00,8.73647043e-01,4.23930091e-01,4.49716952e-01
2.46000000e-02,1.85479630e+01,3.08068423e-02,1.05275279e-01,1.13917879e-01,3.33111037e-01,5.08689428e+01,0.00000000e+00,8.76772631e-01,4.21101115e-01,4.55671516e-01
2.49000000e-02,1.87741577e+01,3.00452855e-02,1.04559555e-01,1.15395160e-01,3.35349874e-01,5.08667040e+01,0.00000000e+00,8.79818858e-01,4.18238220e-01,4.61580638e-01
2.52000000e-02,1.90003524e+01,2.93030587e-02,1.03835978e-01,1.16860964e-01,3.37557905e-01,5.08644959e+01,0.00000000e+00,8.82787765e-01,4.15343910e-01,4.67443855e-01
2.55000000e-02,1.92265470e+01,2.85796650e-02,1.03105150e-01,1.18315185e-01,3.39735520e-01,5.08623183e+01,0.00000000e+00,8.85681340e-01,4.12420601e-01,4.73260739e-01
2.58000000e-02,1.94527417e+01,2.78746204e-02,1.02367655e-01,1.19757725e-01,3.41883104e-01,5.08601707e+01,0.00000000e+00,8.88501518e-01,4.09470619e-01,4.79030899e-01
2.61000000e-02,1.96789364e+01,2.71874534e-02,1.01624052e-01,1.21188494e-01,3.44001041e-01,5.08580528e+01,0.00000000e+00,8.91250186e-01,4.06496209e-01,4.84753977e-01
2.64000000e-02,1.99051311e+01,2.65177045e-02,1.00874883e-01,1.22607412e-01,3.46089708e-01,5.08559641e+01,0.00000000e+00,8.93929182e-01,4.03499533e-01,4.90429649e-01
2.67000000e-02,2.01313257e+01,2.58649263e-02,1.00120668e-01,1.24014406e-01,3.48149479e-01,5.08539044e+01,0.00000000e+00,8.96540295e-01,4.00482672e-01,4.96057622e-01
2.70000000e-02,2.03575204e+01,2.52286828e-02,9.93619087e-02,1.25409408e-01,3.50180726e-01,5.08518731e+01,0.00000000e+00,8.99085269e-01,3.97447635e-01,5.01637634e-01
