T_trend_r,affected_region,affected_species,alpha_round_threshold,chi2_over_dof,p_bootstrap,p_combined_best_model,p_component_T_trend,p_component_chi2,p_component_species_bias,p_component_worst_cell,p_component_z_autocorr,p_model_irreversible,p_model_rev-dilute,p_model_rev-pitzer,rejected_at_threshold,round,round_first_detected,scenario,seed,species_bias_z_AcOH,species_bias_z_EG,species_bias_z_EGDA,species_bias_z_EGMA,state,strategy,trigger_reasons,z_autocorr_r
0.0,,,0.00625,1.0279081168094089,nan,0.7745952960388438,1.0,0.3895231257333537,0.25767755011952886,0.8272656467512336,0.8139484684777941,,,0.7745952960388438,0,4,-1,S1_ideal,9,-1.8004733576249323,1.1199437423413368,0.10992930805229818,-0.08781488785096409,NORMAL_LEARNING,F,,-0.0743784110620114
-0.08897258435739977,,,0.00625,1.0512380921691626,nan,0.8295925657241975,0.8996054003480326,0.2980636913083728,0.38220950646244944,0.9240658038735153,0.7546164118491894,,,0.8295925657241975,0,5,-1,S1_ideal,9,-1.5829381374420088,1.1905638682132664,0.5044377061263009,0.19897499185114156,NORMAL_LEARNING,F,,-0.05136167168407005
-0.09756717974716775,,,0.00625,0.9883596434311933,nan,0.9673048178756329,0.8653792852454475,0.5380604672283642,0.4954586647869861,0.9496705438800931,0.8503884338177992,,,0.9673048178756329,0,6,-1,S1_ideal,9,-1.4145493861938931,1.1750643605352606,0.5072219811965011,0.15722775980486015,NORMAL_LEARNING,F,,-0.07063381233695681
-0.16514897357114014,,,0.00625,1.0078556305438373,nan,0.9324706689364995,0.7388693955090136,0.4521730056659128,0.4166912521959153,0.8898897685226547,0.8134428848258709,,,0.9324706689364995,0,7,-1,S1_ideal,9,-1.5297683596766558,1.1525708197220337,0.35274241973605597,0.08176173334110912,NORMAL_LEARNING,F,,-0.05610599748830622
-0.2794755743669254,,,0.00625,1.024027676282334,nan,0.9027090992579656,0.5208702843653248,0.3724989673645469,0.5380362798359932,0.8983030872376644,0.6351541475161201,,,0.9027090992579656,0,8,-1,S1_ideal,9,-1.354510851714694,1.2234800544937858,0.6907887156847013,0.32851230662832026,NORMAL_LEARNING,F,,-0.02036088413832478
0.0,,,0.00625,0.7864048979292702,nan,0.9981548653329598,1.0,0.807873848040678,0.8549671255021684,0.8549671255021684,0.7160737060296194,,,0.9981548653329598,0,1,-1,S1_ideal,10,-0.8256622033692881,0.872594253094048,0.46992425669295124,0.8345304119051337,NORMAL_LEARNING,F,,-0.09520282546614942
0.0,,,0.00625,0.7869390896105499,nan,0.7467451634876172,1.0,0.9107891703666098,0.2401785501047089,0.24125282120421165,0.406945122770325,,,0.7467451634876172,0,2,-1,S1_ideal,10,0.5003457126840908,0.4478880564988578,1.835961444306099,1.0803602973015929,NORMAL_LEARNING,F,,0.027743377037894763
0.0,,,0.00625,0.8112247102927868,nan,0.9556736673846943,1.0,0.9307484407240602,0.580782028497691,0.46379314699090546,0.4763631860947711,,,0.9556736673846943,0,3,-1,S1_ideal,10,1.259920547548366,-0.05649290007855904,1.2949295878270843,1.0657604839970238,NORMAL_LEARNING,F,,0.005704549099302334
0.12518627512827046,,,0.00625,0.8725804510788963,nan,0.7090378191921423,0.899853471857383,0.8709828120219868,0.21879087290867516,0.5832281080564168,0.4208780430299346,,,0.7090378191921423,0,4,-1,S1_ideal,10,1.2000955018723598,0.09096472383790032,1.8818121650135635,1.3451150372183096,NORMAL_LEARNING,F,,0.016637311896792187
0.3562902030624699,,,0.00625,1.0298706392840382,nan,0.1393848185672767,0.5982083621776922,0.37255939167806557,0.06899875634846497,0.12466052587745291,0.029575392566289074,,,0.1393848185672767,0,5,-1,S1_ideal,10,1.2221232481351536,1.0112309629358485,2.371524338345685,2.0198441849406996,NORMAL_LEARNING,F,,0.14065396310799616
