scenario_id,catalyst,geometry,temp_C,C_EGDA_feed_M,C_catalyst_feed_M,Q_total_mL_min,tau_s,C_EGMA_peak_M,Y_EGMA_peak,x_peak_m,tau_peak_s,x_peak_over_L,tau_peak_over_tau_out,peak_is_interior,peak_is_at_outlet,remaining_length_after_peak_m,remaining_time_after_peak_s,EGMA_increasing_at_outlet,peak95_start_x_m,peak95_end_x_m,peak95_width_m,peak95_width_over_L,peak95_start_tau_s,peak95_end_tau_s,peak95_width_s
9f3bb762232fbab4,H2SO4,A,25,0.2,0.4,8,5.65486677646,2.74210829e-05,0.000274210829,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
684c9881cecaf56d,H2SO4,A,25,0.2,0.4,10,4.52389342117,2.19377375e-05,0.000219377375,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
2a1e927494e0aca6,H2SO4,A,25,0.3,0.4,2,22.6194671058,0.00016322582,0.00108817213,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
92e5d81b8990a92d,H2SO4,A,25,0.3,0.4,4,11.3097335529,8.16451119e-05,0.000544300746,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
3cb2b634ee879999,H2SO4,A,25,0.3,0.4,6,7.53982236862,5.44372325e-05,0.000362914884,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
c4e03004b8c21a7f,H2SO4,A,25,0.3,0.4,8,5.65486677646,4.08306089e-05,0.000272204059,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
34f41a8defd609b4,H2SO4,A,25,0.3,0.4,10,4.52389342117,3.26657758e-05,0.000217771838,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
1fa757bec5601dc4,H2SO4,A,25,0.4,0.4,2,22.6194671058,0.000216030816,0.00108015408,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
f6e4dc0a465a1bc3,H2SO4,A,25,0.4,0.4,4,11.3097335529,0.000108057741,0.000540288706,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
b4f0018897e2c947,H2SO4,A,25,0.4,0.4,6,7.53982236862,7.20479039e-05,0.000360239519,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
819297eb839104dd,H2SO4,A,25,0.4,0.4,8,5.65486677646,5.40394569e-05,0.000270197285,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
9388a67c2eb444a2,H2SO4,A,25,0.4,0.4,10,4.52389342117,4.32332596e-05,0.000216166298,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
28399ed52078faf9,H2SO4,A,25,0.5,0.4,2,22.6194671058,0.000268033987,0.00107213595,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
aeea113a751d5bfc,H2SO4,A,25,0.5,0.4,4,11.3097335529,0.000134069161,0.000536276644,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
