scenario_id,catalyst,geometry,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,Q_total_mL_min,X_EGDA,Y_EGMA,S_EGMA,Y_EG,STY_EGMA_mol_Lreactor_h,physical_valid,study_max_feasible_Y_EGMA,near_optimal_fraction_of_max,available_one_step_neighbors,feasible_one_step_neighbors,feasible_neighbor_fraction
1d48cf9adab9300e,NaOH,B,40,0.1,0.1,4,0.757206843311,0.51443274587,0.679382061077,0.242774097441,0.12129557691,False,0.521825508933,0.985832882954,6,4,0.666666666667
d28779b54e74a435,NaOH,B,40,0.1,0.1,6,0.756933132601,0.514427901212,0.679621328563,0.242505231389,0.18194165215,False,0.521825508933,0.985823598895,6,4,0.666666666667
1df4c88e8e9ea5f4,NaOH,B,40,0.1,0.1,8,0.755672912125,0.51440166602,0.680720001691,0.241271246105,0.242576497418,False,0.521825508933,0.985773323102,6,4,0.666666666667
ff3d3af3ff847400,NaOH,B,40,0.1,0.1,10,0.752922066007,0.514322170944,0.683101471141,0.238599895063,0.303173761842,False,0.521825508933,0.98562098276,5,3,0.6
20ae358cafb3d72f,NaOH,B,40,0.2,0.2,2,0.757216455183,0.514432910367,0.679373654449,0.242783544817,0.121295615579,False,0.521825508933,0.985833198187,7,4,0.571428571429
60cd5f44f27f9f4f,NaOH,B,40,0.2,0.2,4,0.757216454807,0.51443291036,0.679373654778,0.242783544447,0.242591231157,False,0.521825508933,0.985833198175,8,5,0.625
aea63429f15772e9,NaOH,B,40,0.2,0.2,6,0.757216128827,0.514432904785,0.679373939885,0.242783224041,0.363886843199,False,0.521825508933,0.985833187491,8,5,0.625
6278c7fb6607a7b9,NaOH,B,40,0.2,0.2,8,0.757206843272,0.51443274579,0.679382061006,0.242774097482,0.48518230764,False,0.521825508933,0.985832882801,8,5,0.625
28aa6e44c9fba82e,NaOH,B,40,0.2,0.2,10,0.757143281035,0.514431647979,0.679437645245,0.242711633055,0.60647659009,False,0.521825508933,0.985830779012,7,4,0.571428571429
8a60f4603cee56ca,NaOH,B,40,0.3,0.3,2,0.757216455175,0.51443291035,0.679373654434,0.242783544825,0.181943423604,False,0.521825508933,0.985833198155,7,5,0.714285714286
