x_m,C_EGMA_T40C,C_EGMA_T60C,C_EGMA_T80C,C_EGMA_T100C,C_EGMA_T120C,C_EGMA_T150C,C_EGMA_T180C
5.34000000e-02,1.48806874e-04,5.25890043e-04,1.59223017e-03,4.16119131e-03,9.26797329e-03,2.06069409e-02,2.08369008e-02
5.37000000e-02,1.49641032e-04,5.28821077e-04,1.60095429e-03,4.18297525e-03,9.31122245e-03,2.06578016e-02,2.07719306e-02
5.40000000e-02,1.50475169e-04,5.31751851e-04,1.60967597e-03,4.20474202e-03,9.35438172e-03,2.07081471e-02,2.07065629e-02
5.43000000e-02,1.51309285e-04,5.34682365e-04,1.61839522e-03,4.22649163e-03,9.39745125e-03,2.07579804e-02,2.06408099e-02
5.46000000e-02,1.52143381e-04,5.37612618e-04,1.62711203e-03,4.24822408e-03,9.44043117e-03,2.08073043e-02,2.05746837e-02
5.49000000e-02,1.52977457e-04,5.40542611e-04,1.63582640e-03,4.26993939e-03,9.48332160e-03,2.08561214e-02,2.05081961e-02
5.52000000e-02,1.53811512e-04,5.43472344e-04,1.64453834e-03,4.29163756e-03,9.52612270e-03,2.09044346e-02,2.04413588e-02
5.55000000e-02,1.54645546e-04,5.46401816e-04,1.65324784e-03,4.31331861e-03,9.56883458e-03,2.09522467e-02,2.03741833e-02
5.58000000e-02,1.55479560e-04,5.49331028e-04,1.66195491e-03,4.33498255e-03,9.61145740e-03,2.09995603e-02,2.03066808e-02
5.61000000e-02,1.56313554e-04,5.52259980e-04,1.67065955e-03,4.35662939e-03,9.65399127e-03,2.10463783e-02,2.02388625e-02
