scenario,strategy,seed,acquisition_index,z_m,z_over_L,reacquisition,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,qc_state,qc_flags,residual_rms,fit_condition_number,hardware_fault,spectrum_csv,c_EGDA_M,sigma_EGDA_M,c_EGMA_M,sigma_EGMA_M,c_EG_M,sigma_EG_M,c_AcOH_M,sigma_AcOH_M
S3_transport,D,7,73,0.06000000000000001,0.30000000000000004,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.5326805681705392,2.5185725091382936,0,spectrum_D_acq0073_z0.0600m.csv,0.13464421441698488,0.005278110650095539,0.12374474366769264,0.02231242407199122,0.2169701227514713,0.0037047888699402887,0.6032703010326883,0.012509246934560856
S3_transport,D,7,80,0.2,1.0,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.3457604400063735,2.6616484047526345,0,spectrum_D_acq0080_z0.2000m.csv,0.005133159627394008,0.00452369808139139,0.07146693166740087,0.01587215003952434,0.4157700138552408,0.005121798489564262,0.9188259143907155,0.01733921372846483
S3_transport,E,7,1,0.107096,0.53548,0,40.0,0.5,0.5,1.0,1.0,0.5,WARN,"WARN nonnegativity active: EGMA,AcOH",0.23296326892413102,2.5749992798287806,0,spectrum_E_acq0001_z0.1071m.csv,0.4922481315305441,0.010466043044309793,0.001564193528995341,0.01130519199881061,0.0003403825440314093,0.002098730006495284,-0.00022445737519570042,0.006124090989636131
S3_transport,E,7,8,0.191376,0.95688,0,40.0,0.5,0.5,1.0,1.0,0.5,PASS,,0.38435991506734024,2.581318310575059,0,spectrum_E_acq0008_z0.1914m.csv,0.47833204317565325,0.010258912048428805,0.013826522107791193,0.011683009791004196,0.0005220176384033758,0.0024957022851524184,0.001387286968574169,0.006385848994583085
S3_transport,E,7,15,0.072992,0.36496,0,130.0,0.25,0.25,0.5,1.0,0.1,PASS,,0.2088747764638689,2.585200770192435,0,spectrum_E_acq0015_z0.0730m.csv,0.4632637829554396,0.00996070347884996,0.018711312822732945,0.011647141331131981,0.0020051823162186688,0.0020545259678910106,0.03276844421139597,0.0061238389369361506
S3_transport,E,7,23,0.045160000000000006,0.22580000000000003,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.2689075726552417,2.5942605358124715,0,spectrum_E_acq0023_z0.0452m.csv,0.16728393649449147,0.005508376472904163,0.15920343633968795,0.027015823864854942,0.16771925050372755,0.0028454344440346684,0.49622457759564753,0.010682133053670191
S3_transport,E,7,30,0.2,1.0,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.2372751844505107,2.6192455116074376,0,spectrum_E_acq0030_z0.2000m.csv,0.005690707893170073,0.004458949299239087,0.07201216149614466,0.015835101515343418,0.41724572035385443,0.004989300939381773,0.9177644076424469,0.01724274538423407
S3_transport,E,7,37,0.18627999999999997,0.9313999999999998,0,100.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.22371611933135802,2.628667217659554,0,spectrum_E_acq0037_z0.1863m.csv,0.23575778795932748,0.006358895058332459,0.17874062349700845,0.029765619408513605,0.08199282358518088,0.0022816629438604493,0.3417039037429773,0.008574037505874967
S3_transport,E,7,44,0.051432000000000005,0.25716,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.2957962626751864,2.542610606939319,0,spectrum_E_acq0044_z0.0514m.csv,0.14729300774820728,0.0052947700127508575,0.1510842701234253,0.025887368689217545,0.19392430128196855,0.0030561705652554128,0.5466948925769708,0.011426372816810514
S3_transport,E,7,51,0.040847999999999995,0.20423999999999998,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.2912542662756211,2.601193371708379,0,spectrum_E_acq0051_z0.0408m.csv,0.1879050698196588,0.0057583533236471585,0.12455813169638144,0.022296403417179627,0.1610435617626264,0.0028467510379218,0.4783408689829379,0.010451142648647055
